asteroid_id,name,absolute_magnitude_h,estimated_diameter_max_km,is_potentially_hazardous,close_approach_date,relative_velocity_kph,miss_distance_km,orbiting_body
3447916,(2009 DB1),23.05,0.1458948557,False,2026-07-16,95584.8664596629,69118723.00966758,Earth
3457840,(2009 HA21),20.85,0.4018277992,True,2026-07-16,122817.1854531895,53400709.51286582,Earth
3772995,(2017 FX101),25.38,0.0498930414,False,2026-07-16,50789.4315106151,59195512.66378974,Earth
3836857,(2018 XQ2),28.2,0.0136157002,False,2026-07-16,29819.6419238334,44158739.32369439,Earth
3843209,(2019 NX4),21.1,0.358129403,False,2026-07-16,65534.5742971946,46318257.999778986,Earth
2475534,475534 (2006 TS7),21.25,0.3342258056,True,2026-07-17,46176.4627742426,31333270.864582814,Earth
3623521,(2013 AK20),23.19,0.1367854737,False,2026-07-17,35898.5982183234,64718526.210020445,Earth
3825168,(2018 LG4),27.0,0.023661375,False,2026-07-17,23729.0902822161,26402393.498056147,Earth
2452639,452639 (2005 UY6),18.14,1.3997161669,False,2026-07-10,111834.7642840511,26877307.808705155,Earth
3559843,(2011 EP51),25.2,0.0542050786,False,2026-07-10,46658.1789518062,60661347.64730112,Earth
3623580,(2013 AS27),21.38,0.3148038092,True,2026-07-10,64487.2715192142,12693132.941647258,Earth
3723888,(2015 NU2),20.91,0.3908768761,True,2026-07-10,44788.0267919246,70338978.41402291,Earth
3740929,(2016 BW14),25.8,0.0411187571,False,2026-07-10,35810.9588484431,44771054.98447953,Earth
3786458,(2017 UG),27.5,0.0187948982,False,2026-07-10,27448.9032325732,52558651.04751793,Earth
3976579,(2020 AF2),24.7,0.0682401509,False,2026-07-10,20191.9030805181,24338553.550561488,Earth
3365951,(2007 AA2),24.6,0.0714562102,False,2026-07-11,25970.1909672645,6832280.954817925,Earth
3405616,(2008 EU68),21.9,0.2477650126,False,2026-07-11,87187.9101433477,35056102.1372359,Earth
3621568,(2012 XM145),20.4,0.4943561926,False,2026-07-11,60750.378366624,55494964.65210379,Earth
3825132,(2018 LQ2),25.0,0.0594346868,False,2026-07-11,16042.6452516867,20039918.38582247,Earth
3893214,(2019 VT5),22.8,0.1636967205,False,2026-07-11,73567.175033142,48971862.61178372,Earth
2367943,367943 Duende (2012 DA14),24.19,0.0863057993,False,2026-07-12,25496.3170024534,29628770.520989556,Earth
3299721,(2005 VN5),27.0,0.023661375,False,2026-07-12,44459.8703841902,29514953.888410192,Earth
3607742,(2012 QH8),21.45,0.3048175575,False,2026-07-12,42780.0705771161,37441768.93066501,Earth
3754438,(2016 NG15),20.62,0.4467247133,True,2026-07-12,72282.2829880918,28820304.46678719,Earth
3764703,(2016 WU2),27.4,0.0196806745,False,2026-07-12,29117.3637752853,68699320.89318648,Earth
3989253,(2020 BD11),24.29,0.0824213984,False,2026-07-12,32263.1307963358,36804461.70403405,Earth
3723949,(2015 NG3),21.7,0.2716689341,False,2026-07-13,56128.3732543403,64176751.58478001,Earth
3582056,(2011 UT),25.79,0.0413085527,False,2026-07-14,54246.5962722605,26128432.85427454,Earth
3754388,(2016 NB1),23.9,0.0986370281,False,2026-07-14,30381.1882572528,11593805.484139184,Earth
3797753,(2018 BV1),24.3,0.0820427065,False,2026-07-14,65144.7541973819,70873325.05622423,Earth
3830882,(2018 SD2),28.6,0.0113250461,False,2026-07-14,47164.6695684798,54820154.152010836,Earth
3182823,(2004 KG1),23.96,0.0959488953,False,2026-07-15,28839.544413164,20607226.345594935,Earth
3552537,(2010 WB3),19.95,0.6081909854,False,2026-07-15,98978.8033757858,17725394.953842036,Earth
3567991,(2011 LA19),19.17,0.8710437698,True,2026-07-15,49174.1442230004,17635960.9040993,Earth
3703783,(2015 AF45),25.12,0.0562393094,False,2026-07-15,23294.232057146,62576971.814637356,Earth
